date,store_id,item_id,ingredient_name,waste_type,waste_qty,waste_value
2024-01-01,MIL-01,FAR-01,Farina tipo 00 (kg),Scaduto,0.98,0.78
2024-01-01,MIL-01,FAR-01,Farina tipo 00 (kg),Sfrido,1.33,1.06
2024-01-01,MIL-01,VER-01,Verdure miste (kg),Deteriorato,1.30,4.55
2024-01-01,MIL-02,PRO-01,Prosciutto crudo (kg),Errore Comanda,1.92,42.24
2024-01-01,MIL-02,VER-01,Verdure miste (kg),Sfrido,1.85,6.48
2024-01-01,MIL-02,CAR-01,Carne manzo (kg),Scaduto,1.92,35.52
2024-01-01,MIL-02,CAR-01,Carne manzo (kg),Errore Comanda,0.16,2.96
2024-01-01,MIL-03,SAL-01,Salame piccante (kg),Sfrido,0.46,8.28
2024-01-01,MIL-03,SAL-01,Salame piccante (kg),Deteriorato,0.97,17.46
2024-01-01,MIL-04,PRO-01,Prosciutto crudo (kg),Deteriorato,0.22,4.84
2024-01-01,MIL-04,OLI-01,Olio EVO (lt),Scaduto,0.67,8.04
2024-01-01,MIL-05,MOZZ-01,Mozzarella (kg),Sfrido,0.39,3.31
2024-01-01,MIL-06,OLI-01,Olio EVO (lt),Scaduto,2.10,25.20
2024-01-01,MIL-07,VER-01,Verdure miste (kg),Sfrido,0.15,0.53
2024-01-01,MIL-07,CAR-01,Carne manzo (kg),Sfrido,1.41,26.08
2024-01-01,MIL-07,MOZZ-01,Mozzarella (kg),Scaduto,1.62,13.77
2024-01-01,MIL-07,FUN-01,Funghi porcini (kg),Deteriorato,1.56,43.68
2024-01-01,MIL-08,MOZZ-01,Mozzarella (kg),Sfrido,0.96,8.16
2024-01-01,MIL-08,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.21,3.87
2024-01-01,MIL-08,MOZZ-01,Mozzarella (kg),Errore Comanda,1.96,16.66
2024-01-01,MIL-08,SAL-01,Salame piccante (kg),Scaduto,1.94,34.92
2024-01-01,MIL-09,FUN-01,Funghi porcini (kg),Errore Comanda,1.25,35.00
2024-01-01,MIL-09,MOZZ-01,Mozzarella (kg),Deteriorato,0.68,5.78
2024-01-01,MIL-09,FAR-01,Farina tipo 00 (kg),Sfrido,1.46,1.17
2024-01-01,MIL-09,SAL-01,Salame piccante (kg),Errore Comanda,1.57,28.26
2024-01-01,MIL-10,SAL-01,Salame piccante (kg),Scaduto,1.41,25.38
2024-01-01,MIL-10,VER-01,Verdure miste (kg),Errore Comanda,0.42,1.47
2024-01-01,MIL-10,PES-01,Pesce branzino (kg),Sovraproduzione,1.51,36.24
2024-01-01,MIL-10,VER-01,Verdure miste (kg),Scaduto,0.50,1.75
2024-01-02,MIL-01,CAR-01,Carne manzo (kg),Deteriorato,0.75,13.88
2024-01-02,MIL-01,OLI-01,Olio EVO (lt),Sfrido,1.23,14.76
2024-01-02,MIL-01,MOZZ-01,Mozzarella (kg),Errore Comanda,0.71,6.04
2024-01-02,MIL-02,FUN-01,Funghi porcini (kg),Deteriorato,0.74,20.72
2024-01-02,MIL-03,FAR-01,Farina tipo 00 (kg),Deteriorato,1.05,0.84
2024-01-02,MIL-04,CAR-01,Carne manzo (kg),Scaduto,0.41,7.58
2024-01-02,MIL-04,CAR-01,Carne manzo (kg),Sfrido,1.55,28.68
2024-01-02,MIL-04,PES-01,Pesce branzino (kg),Deteriorato,0.25,6.00
2024-01-02,MIL-04,SAL-01,Salame piccante (kg),Errore Comanda,1.93,34.74
2024-01-02,MIL-05,PES-01,Pesce branzino (kg),Deteriorato,2.09,50.16
2024-01-02,MIL-06,MOZZ-01,Mozzarella (kg),Sfrido,2.00,17.00
2024-01-02,MIL-06,FUN-01,Funghi porcini (kg),Sfrido,1.80,50.40
2024-01-02,MIL-06,VER-01,Verdure miste (kg),Deteriorato,0.72,2.52
2024-01-02,MIL-07,FAR-01,Farina tipo 00 (kg),Scaduto,0.69,0.55
2024-01-02,MIL-07,OLI-01,Olio EVO (lt),Deteriorato,0.51,6.12
2024-01-02,MIL-08,FAR-01,Farina tipo 00 (kg),Sfrido,0.42,0.34
2024-01-02,MIL-08,PES-01,Pesce branzino (kg),Errore Comanda,0.14,3.36
2024-01-02,MIL-08,FAR-01,Farina tipo 00 (kg),Sovraproduzione,0.71,0.57
2024-01-02,MIL-08,SAL-01,Salame piccante (kg),Scaduto,2.08,37.44
2024-01-02,MIL-09,MOZZ-01,Mozzarella (kg),Sfrido,1.98,16.83
2024-01-02,MIL-09,SAL-01,Salame piccante (kg),Sovraproduzione,1.77,31.86
2024-01-02,MIL-09,VER-01,Verdure miste (kg),Sfrido,0.73,2.55
2024-01-02,MIL-10,PRO-01,Prosciutto crudo (kg),Sfrido,0.74,16.28
2024-01-02,MIL-10,FAR-01,Farina tipo 00 (kg),Sfrido,0.44,0.35
2024-01-02,MIL-10,FAR-01,Farina tipo 00 (kg),Sovraproduzione,0.50,0.40
2024-01-02,MIL-10,FAR-01,Farina tipo 00 (kg),Sfrido,0.19,0.15
2024-01-03,MIL-01,PRO-01,Prosciutto crudo (kg),Deteriorato,0.24,5.28
2024-01-03,MIL-01,SAL-01,Salame piccante (kg),Deteriorato,1.78,32.04
2024-01-03,MIL-01,FUN-01,Funghi porcini (kg),Sovraproduzione,1.14,31.92
2024-01-03,MIL-01,TOM-01,Pomodoro San Marzano (kg),Sovraproduzione,1.84,5.89
2024-01-03,MIL-02,FAR-01,Farina tipo 00 (kg),Errore Comanda,1.62,1.30
2024-01-03,MIL-02,FUN-01,Funghi porcini (kg),Sovraproduzione,2.04,57.12
2024-01-03,MIL-02,TOM-01,Pomodoro San Marzano (kg),Sovraproduzione,0.15,0.48
2024-01-03,MIL-03,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.95,3.04
2024-01-03,MIL-04,FUN-01,Funghi porcini (kg),Scaduto,0.13,3.64
2024-01-03,MIL-04,SAL-01,Salame piccante (kg),Errore Comanda,1.40,25.20
2024-01-03,MIL-04,CAR-01,Carne manzo (kg),Deteriorato,0.57,10.54
2024-01-03,MIL-04,CAR-01,Carne manzo (kg),Sfrido,1.11,20.54
2024-01-03,MIL-05,FUN-01,Funghi porcini (kg),Deteriorato,1.60,44.80
2024-01-03,MIL-05,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.55,1.76
2024-01-03,MIL-06,FAR-01,Farina tipo 00 (kg),Sfrido,1.70,1.36
2024-01-03,MIL-06,SAL-01,Salame piccante (kg),Sovraproduzione,0.96,17.28
2024-01-03,MIL-06,FAR-01,Farina tipo 00 (kg),Scaduto,1.05,0.84
2024-01-03,MIL-06,OLI-01,Olio EVO (lt),Errore Comanda,1.70,20.40
2024-01-03,MIL-07,PES-01,Pesce branzino (kg),Errore Comanda,1.93,46.32
2024-01-03,MIL-07,PES-01,Pesce branzino (kg),Deteriorato,1.96,47.04
2024-01-03,MIL-08,FAR-01,Farina tipo 00 (kg),Sfrido,0.87,0.70
2024-01-03,MIL-08,VER-01,Verdure miste (kg),Sovraproduzione,1.62,5.67
2024-01-03,MIL-08,PES-01,Pesce branzino (kg),Sfrido,2.07,49.68
2024-01-03,MIL-09,OLI-01,Olio EVO (lt),Deteriorato,1.40,16.80
2024-01-03,MIL-09,MOZZ-01,Mozzarella (kg),Sovraproduzione,1.48,12.58
2024-01-03,MIL-09,TOM-01,Pomodoro San Marzano (kg),Sfrido,0.55,1.76
2024-01-03,MIL-09,VER-01,Verdure miste (kg),Scaduto,0.11,0.39
2024-01-03,MIL-10,FUN-01,Funghi porcini (kg),Sovraproduzione,0.48,13.44
2024-01-03,MIL-10,CAR-01,Carne manzo (kg),Sfrido,1.30,24.05
2024-01-03,MIL-10,VER-01,Verdure miste (kg),Errore Comanda,0.17,0.60
2024-01-04,MIL-01,VER-01,Verdure miste (kg),Sovraproduzione,1.45,5.08
2024-01-04,MIL-02,VER-01,Verdure miste (kg),Sovraproduzione,1.24,4.34
2024-01-04,MIL-02,CAR-01,Carne manzo (kg),Errore Comanda,0.73,13.50
2024-01-04,MIL-02,OLI-01,Olio EVO (lt),Errore Comanda,0.37,4.44
2024-01-04,MIL-03,PES-01,Pesce branzino (kg),Sovraproduzione,1.56,37.44
2024-01-04,MIL-03,FUN-01,Funghi porcini (kg),Sfrido,1.44,40.32
2024-01-04,MIL-03,VER-01,Verdure miste (kg),Sovraproduzione,0.68,2.38
2024-01-04,MIL-04,PES-01,Pesce branzino (kg),Errore Comanda,0.59,14.16
2024-01-04,MIL-04,VER-01,Verdure miste (kg),Sovraproduzione,2.01,7.03
2024-01-04,MIL-04,FAR-01,Farina tipo 00 (kg),Scaduto,1.97,1.58
2024-01-04,MIL-05,VER-01,Verdure miste (kg),Sovraproduzione,0.57,1.99
2024-01-04,MIL-05,SAL-01,Salame piccante (kg),Sfrido,1.60,28.80
2024-01-04,MIL-06,VER-01,Verdure miste (kg),Scaduto,0.74,2.59
2024-01-04,MIL-06,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.65,2.08
2024-01-04,MIL-06,SAL-01,Salame piccante (kg),Errore Comanda,1.17,21.06
2024-01-04,MIL-07,FAR-01,Farina tipo 00 (kg),Sovraproduzione,1.34,1.07
2024-01-04,MIL-08,OLI-01,Olio EVO (lt),Sfrido,1.58,18.96
2024-01-04,MIL-08,OLI-01,Olio EVO (lt),Sfrido,0.82,9.84
2024-01-04,MIL-09,PES-01,Pesce branzino (kg),Sovraproduzione,1.80,43.20
2024-01-04,MIL-09,FUN-01,Funghi porcini (kg),Sovraproduzione,1.72,48.16
2024-01-04,MIL-10,FAR-01,Farina tipo 00 (kg),Deteriorato,1.47,1.18
2024-01-05,MIL-01,CAR-01,Carne manzo (kg),Sfrido,1.90,35.15
2024-01-05,MIL-01,VER-01,Verdure miste (kg),Sovraproduzione,1.74,6.09
2024-01-05,MIL-01,SAL-01,Salame piccante (kg),Sovraproduzione,0.77,13.86
2024-01-05,MIL-02,OLI-01,Olio EVO (lt),Errore Comanda,0.78,9.36
