dish_id,dish_name,ingredient_id,ingredient_name,quantity,unit,costo_unitario,costo_ingrediente
ANT-001,Bruschetta al pomodoro,TOM-01,Pomodoro pelato,0.08,kg,1.2,0.10
ANT-001,Bruschetta al pomodoro,OLI-01,Olio EVO,0.015,lt,5,0.07
ANT-001,Bruschetta al pomodoro,BAS-01,Basilico,0.3,mazzo,1.5,0.45
ANT-002,Caprese,MOZZ-01,Mozzarella fior di latte,0.125,kg,5.5,0.69
ANT-002,Caprese,TOM-01,Pomodoro pelato,0.15,kg,1.2,0.18
ANT-002,Caprese,OLI-01,Olio EVO,0.02,lt,5,0.10
ANT-002,Caprese,BAS-01,Basilico,0.2,mazzo,1.5,0.30
ANT-003,Prosciutto e melone,PRO-01,Prosciutto crudo,0.08,kg,22,1.76
ANT-003,Prosciutto e melone,VER-01,Verdure miste,0.2,kg,3.5,0.70
ANT-004,Affettati misti,PRO-01,Prosciutto crudo,0.05,kg,22,1.10
ANT-004,Affettati misti,PRO-02,Prosciutto cotto,0.05,kg,15,0.75
ANT-004,Affettati misti,SAL-01,Salame piccante,0.05,kg,18,0.90
PIZ-001,Margherita,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-001,Margherita,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PIZ-001,Margherita,MOZZ-01,Mozzarella fior di latte,0.1,kg,5.5,0.55
PIZ-001,Margherita,OLI-01,Olio EVO,0.015,lt,5,0.07
PIZ-001,Margherita,BAS-01,Basilico,0.1,mazzo,1.5,0.15
PIZ-002,Marinara,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-002,Marinara,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PIZ-002,Marinara,OLI-01,Olio EVO,0.02,lt,5,0.10
PIZ-003,Diavola,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-003,Diavola,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PIZ-003,Diavola,MOZZ-01,Mozzarella fior di latte,0.1,kg,5.5,0.55
PIZ-003,Diavola,SAL-01,Salame piccante,0.07,kg,18,1.26
PIZ-003,Diavola,OLI-01,Olio EVO,0.015,lt,5,0.07
PIZ-004,Quattro stagioni,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-004,Quattro stagioni,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PIZ-004,Quattro stagioni,MOZZ-01,Mozzarella fior di latte,0.1,kg,5.5,0.55
PIZ-004,Quattro stagioni,PRO-02,Prosciutto cotto,0.05,kg,15,0.75
PIZ-004,Quattro stagioni,FUN-01,Funghi freschi,0.05,kg,8.5,0.43
PIZ-004,Quattro stagioni,OLI-01,Olio EVO,0.015,lt,5,0.07
PIZ-005,Capricciosa,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-005,Capricciosa,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PIZ-005,Capricciosa,MOZZ-01,Mozzarella fior di latte,0.1,kg,5.5,0.55
PIZ-005,Capricciosa,PRO-02,Prosciutto cotto,0.06,kg,15,0.90
PIZ-005,Capricciosa,FUN-01,Funghi freschi,0.05,kg,8.5,0.43
PIZ-005,Capricciosa,OLI-01,Olio EVO,0.015,lt,5,0.07
PIZ-006,Prosciutto e funghi,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-006,Prosciutto e funghi,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PIZ-006,Prosciutto e funghi,MOZZ-01,Mozzarella fior di latte,0.1,kg,5.5,0.55
PIZ-006,Prosciutto e funghi,PRO-02,Prosciutto cotto,0.07,kg,15,1.05
PIZ-006,Prosciutto e funghi,FUN-01,Funghi freschi,0.06,kg,8.5,0.51
PIZ-006,Prosciutto e funghi,OLI-01,Olio EVO,0.015,lt,5,0.07
PIZ-007,Bufala e pachino,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-007,Bufala e pachino,TOM-01,Pomodoro pelato,0.15,kg,1.2,0.18
PIZ-007,Bufala e pachino,MOZZ-02,Mozzarella di bufala,0.125,kg,12,1.50
PIZ-007,Bufala e pachino,OLI-01,Olio EVO,0.02,lt,5,0.10
PIZ-008,Salsiccia e friarielli,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-008,Salsiccia e friarielli,MOZZ-01,Mozzarella fior di latte,0.1,kg,5.5,0.55
PIZ-008,Salsiccia e friarielli,CAR-01,Carne manzo (tagliata),0.1,kg,18.5,1.85
PIZ-008,Salsiccia e friarielli,VER-01,Verdure miste,0.08,kg,3.5,0.28
PIZ-008,Salsiccia e friarielli,OLI-01,Olio EVO,0.02,lt,5,0.10
PIZ-009,Pizza gourmet tartufo,FAR-01,Farina tipo 00,0.25,kg,1.1,0.28
PIZ-009,Pizza gourmet tartufo,MOZZ-02,Mozzarella di bufala,0.12,kg,12,1.44
PIZ-009,Pizza gourmet tartufo,FUN-02,Funghi porcini,0.08,kg,28,2.24
PIZ-009,Pizza gourmet tartufo,OLI-01,Olio EVO,0.025,lt,5,0.13
PRI-001,Carbonara,PAS-01,Pasta secca,0.1,kg,2.8,0.28
PRI-001,Carbonara,CAR-02,Guanciale,0.08,kg,16,1.28
PRI-001,Carbonara,UOV-01,Uova,0.05,kg,3.2,0.16
PRI-001,Carbonara,FOR-01,Pecorino romano,0.03,kg,14,0.42
PRI-002,Amatriciana,PAS-01,Pasta secca,0.1,kg,2.8,0.28
PRI-002,Amatriciana,CAR-02,Guanciale,0.07,kg,16,1.12
PRI-002,Amatriciana,TOM-01,Pomodoro pelato,0.1,kg,1.2,0.12
PRI-002,Amatriciana,FOR-01,Pecorino romano,0.025,kg,14,0.35
PRI-002,Amatriciana,CIP-01,Cipolle,0.03,kg,1.2,0.04
PRI-003,Cacio e pepe,PAS-01,Pasta secca,0.1,kg,2.8,0.28
PRI-003,Cacio e pepe,FOR-01,Pecorino romano,0.05,kg,14,0.70
PRI-004,Pasta al pesto,PAS-01,Pasta secca,0.1,kg,2.8,0.28
PRI-004,Pasta al pesto,BAS-01,Basilico,1,mazzo,1.5,1.50
PRI-004,Pasta al pesto,OLI-01,Olio EVO,0.04,lt,5,0.20
PRI-004,Pasta al pesto,FOR-02,Parmigiano Reggiano,0.025,kg,16,0.40
